SVC_CD|MODIFIER_1|FEE|AS_OF_DATE
19083|UB|47.00|20231001
19083|UA|17.00|20231001
19084|UB|47.00|20231001
19084|UA|17.00|20231001
19085|UA|25.00|20231001
19085|UB|40.00|20231001
19086|UB|40.00|20231001
19086|UA|25.00|20231001
19100|UA|25.00|20231001
19100|UB|39.00|20231001
19101|UA|30.00|20231001
19101|UB|55.00|20231001
19112|UB|45.00|20231001
19112|UA|25.00|20231001
19120|UA|45.00|20231001
19120|UB|70.00|20231001
19125|UA|30.00|20231001
19125|UB|55.00|20231001
19126|UA|30.00|20231001
19126|UB|55.00|20231001
19260|UA|40.00|20231001
19260|UB|70.00|20231001
19271|UA|45.00|20231001
19271|UB|75.00|20231001
19272|UA|55.00|20231001
19272|UB|85.00|20231001
19282|UB|40.00|20231001
19282|UA|25.00|20231001
19283|UB|40.00|20231001
19283|UA|25.00|20231001
19284|UB|40.00|20231001
19284|UA|25.00|20231001
19285|UB|40.00|20231001
19285|UA|25.00|20231001
19286|UB|40.00|20231001
19286|UA|25.00|20231001
19287|UB|40.00|20231001
19287|UA|25.00|20231001
19288|UB|40.00|20231001
19288|UA|25.00|20231001
19294|UA|45.00|20231001
19294|UB|75.00|20231001
19297|UB|50.00|20231001
19297|UA|20.00|20231001
19298|UB|50.00|20231001
19298|UA|20.00|20231001
19300|UA|45.00|20231001
19300|UB|75.00|20231001
19301|UB|75.00|20231001
19301|UA|45.00|20231001
19302|UA|55.00|20231001
19302|UB|85.00|20231001
19303|UA|45.00|20231001
19303|UB|75.00|20231001
19305|UA|40.00|20231001
19305|UB|70.00|20231001
19306|UA|65.00|20231001
19306|UB|95.00|20231001
19307|UA|40.00|20231001
19307|UB|70.00|20231001
19316|UA|55.00|20231001
19316|UB|85.00|20231001
19318|UA|55.00|20231001
19318|UB|85.00|20231001
19324|UA|50.00|20231001
19324|UB|80.00|20231001
19325|UB|80.00|20231001
19325|UA|50.00|20231001
19330|UB|80.00|20231001
19330|UA|50.00|20231001
19340|UA|40.00|20231001
19340|UB|70.00|20231001
19342|UA|40.00|20231001
19342|UB|70.00|20231001
19355|UB|80.00|20231001
19355|UA|50.00|20231001
19357|UA|65.00|20231001
19357|UB|95.00|20231001
19361|UA|65.00|20231001
19361|UB|95.00|20231001
19366|UB|85.00|20231001
19366|UA|55.00|20231001
19368|UB|95.00|20231001
19368|UA|65.00|20231001
19369|UB|95.00|20231001
19369|UA|65.00|20231001
19370|UA|40.00|20231001
19370|UB|70.00|20231001
19371|UA|45.00|20231001
19371|UB|75.00|20231001
19380|UA|50.00|20231001
19380|UB|80.00|20231001
19396|UA|45.00|20231001
19396|UB|75.00|20231001
19499|UA|50.00|20231001
19499|UB|80.00|20231001
20005|UA|21.00|20231001
20005|UB|41.00|20231001
20100|UA|19.00|20231001
20100|UB|49.00|20231001
20101|UA|19.00|20231001
20101|UB|49.00|20231001
20102|UA|19.00|20231001
20102|UB|49.00|20231001
20103|UA|19.00|20231001
20103|UB|49.00|20231001
20150|UA|35.00|20231001
20150|UB|65.00|20231001
20205|UB|41.00|20231001
20205|UA|21.00|20231001
20206|UA|20.00|20231001
20206|UB|50.00|20231001
20225|UB|38.00|20231001
20225|UA|18.00|20231001
20240|UA|20.00|20231001
20240|UB|40.00|20231001
20245|UA|23.00|20231001
20245|UB|43.00|20231001
20250|UA|30.00|20231001
20250|UB|60.00|20231001
20251|UB|60.00|20231001
20251|UA|30.00|20231001
20500|UA|15.00|20231001
20500|UB|35.00|20231001
20501|UB|35.00|20231001
20501|UA|15.00|20231001
20525|UB|43.00|20231001
20525|UA|23.00|20231001
20527|UB|8.00|20231001
20527|UA|8.00|20231001
20550|UB|8.00|20231001
20550|UA|8.00|20231001
20551|UB|8.00|20231001
20551|UA|8.00|20231001
20552|UB|8.00|20231001
20552|UA|8.00|20231001
20553|UB|8.00|20231001
20553|UA|8.00|20231001
20555|UA|25.00|20231001
20555|UB|40.00|20231001
20560|UA|25.00|20231001
20560|UB|40.00|20231001
20561|UB|40.00|20231001
20561|UA|25.00|20231001
20604|UB|39.00|20231001
20604|UA|19.00|20231001
20605|UB|39.00|20231001
20605|UA|19.00|20231001
20606|UB|39.00|20231001
20606|UA|19.00|20231001
20610|UB|39.00|20231001
20610|UA|19.00|20231001
20611|UB|39.00|20231001
20611|UA|19.00|20231001
20612|UA|19.00|20231001
20612|UB|39.00|20231001
20615|UA|25.00|20231001
20615|UB|55.00|20231001
20650|UA|30.00|20231001
20650|UB|60.00|20231001
20660|UA|30.00|20231001
20660|UB|60.00|20231001
20662|UB|65.00|20231001
20662|UA|35.00|20231001
20663|UB|65.00|20231001
20663|UA|35.00|20231001
20664|UA|30.00|20231001
20664|UB|60.00|20231001
20665|UA|15.00|20231001
20665|UB|15.00|20231001
20670|UA|17.00|20231001
20670|UB|37.00|20231001
20680|UA|33.00|20231001
20680|UB|63.00|20231001
20690|UA|35.00|20231001
20690|UB|65.00|20231001
20692|UA|35.00|20231001
20692|UB|65.00|20231001
20693|UA|35.00|20231001
20693|UB|65.00|20231001
20694|UA|44.00|20231001
20694|UB|74.00|20231001
20696|UA|35.00|20231001
20696|UB|65.00|20231001
20697|UB|65.00|20231001
20697|UA|35.00|20231001
20701|UB|45.00|20231001
20701|UA|19.00|20231001
20702|UB|45.00|20231001
20702|UA|19.00|20231001
20703|UB|45.00|20231001
20703|UA|19.00|20231001
20704|UB|45.00|20231001
20704|UA|19.00|20231001
20705|UB|45.00|20231001
20705|UA|19.00|20231001
20805|UB|135.00|20231001
20805|UA|105.00|20231001
20808|UB|135.00|20231001
20808|UA|105.00|20231001
20822|UB|70.00|20231001
20822|UA|40.00|20231001
20824|UB|70.00|20231001
20824|UA|40.00|20231001
20827|UB|70.00|20231001
20827|UA|40.00|20231001
20838|UB|125.00|20231001
20838|UA|95.00|20231001
20900|UA|40.00|20231001
20900|UB|70.00|20231001
20902|UA|50.00|20231001
20902|UB|80.00|20231001
20912|UB|65.00|20231001
20912|UA|35.00|20231001
20922|UB|65.00|20231001
20922|UA|35.00|20231001
20924|UA|45.00|20231001
20924|UB|75.00|20231001
20926|UA|35.00|20231001
20926|UB|65.00|20231001
20931|UB|65.00|20231001
20931|UA|35.00|20231001
20932|UB|65.00|20231001
20932|UA|35.00|20231001
20933|UB|65.00|20231001
20933|UA|35.00|20231001
20934|UB|65.00|20231001
20934|UA|35.00|20231001
20937|UB|65.00|20231001
20937|UA|35.00|20231001
20938|UB|65.00|20231001
20938|UA|35.00|20231001
20939|UB|65.00|20231001
20939|UA|35.00|20231001
20950|UA|15.00|20231001
20950|UB|20.00|20231001
20956|UB|80.00|20231001
20956|UA|50.00|20231001
20957|UB|80.00|20231001
20957|UA|50.00|20231001
20962|UB|80.00|20231001
20962|UA|50.00|20231001
20969|UA|35.00|20231001
20969|UB|65.00|20231001
20970|UA|50.00|20231001
20970|UB|80.00|20231001
20972|UA|45.00|20231001
20972|UB|75.00|20231001
20973|UA|40.00|20231001
20973|UB|70.00|20231001
20974|UA|11.00|20231001
20974|UB|11.00|20231001
20975|UA|20.00|20231001
20975|UB|50.00|20231001
20979|UA|15.00|20231001
20979|UB|20.00|20231001
20982|UA|25.00|20231001
20982|UB|55.00|20231001
20983|UB|55.00|20231001
20983|UA|25.00|20231001
20999|UA|50.00|20231001
20999|UB|80.00|20231001
21010|UA|35.00|20231001
21010|UB|65.00|20231001
21011|UA|50.00|20231001
21011|UB|80.00|20231001
21012|UA|55.00|20231001
21012|UB|85.00|20231001
21013|UA|50.00|20231001
21013|UB|80.00|20231001
21014|UA|55.00|20231001
21014|UB|85.00|20231001
21015|UA|35.00|20231001
21015|UB|65.00|20231001
21016|UA|38.00|20231001
21016|UB|68.00|20231001
21026|UB|55.00|20231001
21026|UA|25.00|20231001
21029|UB|55.00|20231001
21029|UA|25.00|20231001
21030|UB|55.00|20231001
21030|UA|25.00|20231001
21031|UB|55.00|20231001
21031|UA|25.00|20231001
21032|UB|55.00|20231001
21032|UA|25.00|20231001
21034|UB|55.00|20231001
21034|UA|25.00|20231001
21040|UB|55.00|20231001
21040|UA|25.00|20231001
21044|UB|55.00|20231001
21044|UA|25.00|20231001
21045|UB|55.00|20231001
21045|UA|25.00|20231001
21047|UB|55.00|20231001
21047|UA|25.00|20231001
21048|UB|55.00|20231001
21048|UA|25.00|20231001
21049|UB|55.00|20231001
21049|UA|25.00|20231001
21050|UA|30.00|20231001
21050|UB|60.00|20231001
21060|UA|27.00|20231001
21060|UB|57.00|20231001
21070|UA|30.00|20231001
21070|UB|60.00|20231001
21073|UA|35.00|20231001
21073|UB|65.00|20231001
21077|UB|80.00|20231001
21077|UA|50.00|20231001
21079|UB|80.00|20231001
21079|UA|50.00|20231001
